Name,Description,Emissions,Animal Lives,LLM Generated,Ingredients,Predicted Rating
Cheese Melt Pizza,"A gooey, cheesy pizza topped with savory mushrooms and tangy tomato sauce.",23.9,0.0,1,"['Cheese blend', 'tomato sauce', 'mushrooms']",9
Rustica Vegetable Pizza,"A hearty vegetarian pizza loaded with savory mushrooms, smoky cheese, and sweet tomatoes.",0.5,0.0,1,"['Mushrooms', 'smoked mozzarella', 'baby sunblush tomatoes', 'chilli threads', 'riserva cheese']",9
Mushroom Tagliatelle,"Ribbon pasta tossed with a rich mushroom and red wine sauce, topped with creamy mozzarella and crispy sage leaves.",0.5,0.0,1,"['Mushrooms', 'red wine', 'tagliatelle', 'bufala mozzarella', 'crispy sage']",8
Vegetable Hot Pizza,A spicy vegetarian pizza featuring a medley of peppers and savory mushrooms.,0.5,0.0,1,"['Mushrooms', 'mozzarella', 'tomato', 'hot green peppers', 'Roquito peppers', 'jalapeno peppers']",8
Mushroom Bourguignon,"A hearty vegan twist on the classic French dish, featuring meaty mushrooms and savory red wine sauce.",0.5,0.0,1,"['Mushrooms', 'red wine braised onions', 'Raclette cheese', 'tofu']",7
Butternut Squash Carbonara,Creamy pasta featuring roasted butternut squash and crisp asparagus in a rich cheese sauce.,0.5,0.0,1,"['Butternut squash', 'asparagus', 'mascarpone', 'pecorino', 'Grana Padano cheese']",7
Tofu Katsu Curry,Crispy breaded tofu cutlet served with a mild and aromatic curry sauce.,3.2,0.0,1,"['Tofu', 'panko crumb', 'curry sauce', 'pickles', 'steamed rice']",6
Mushroom Rolls,Savory mushrooms and crisp vegetables wrapped in delicate rice paper with a sweet hoisin glaze.,0.5,0.0,1,"['Mushrooms', 'hoisin sauce', 'cucumber', 'spring onion', 'rice paper']",6
Slow Cooked Lentils in Chianti Sauce,"Hearty lentils slow-simmered in a rich red wine sauce, topped with a fluffy cheese dumpling.",1.8,0.0,1,"['Lentils', 'shallots', 'Chianti red wine sauce', 'cheesy dumpling']",6
Wild Mushroom Polpette,"Oven-baked mushroom ""meatballs"" in a rich tomato sauce with melted smoky cheese.",0.5,0.0,1,"['Mushrooms', 'pomodoro sauce', 'smoked mozzarella']",6
