Name,Description,Emissions,Animal Lives,LLM Generated,Ingredients,Predicted Rating
Falafel Wrap,A flavorful and nutritious wrap perfect for any time of day.,1.8,0.0,1,"['Falafel', 'tahini dip', 'shredded cabbage', 'carrot', 'red onion', 'and peppers.']",9
Lentil Meatball Spaghetti,A comforting combination of lentil meatballs and rich tomato sauce with pasta.,1.8,0.0,1,"['Green lentils', 'pomodoro sauce', 'spaghetti', 'smoked mozzarella.']",8
Eggs Florentine Pizza,A delightful pizza featuring fresh eggs and vibrant toppings.,4.7,0.0,1,"['Eggs', 'mozzarella', 'tomato sauce', 'spinach', 'mushrooms.']",8
Spinach and Asparagus Carbonara,A creamy and delicious pasta loaded with greens.,0.5,0.0,1,"['Baby spinach', 'asparagus', 'mascarpone', 'pecorino', 'Grana Padano cheese', 'pasta.']",8
Butternut Squash and Feta Cannelloni,"Rich, creamy, and packed with flavor, perfect for vegetarians.",0.5,0.0,1,"['Roasted butternut squash', 'feta cheese', 'cannelloni', 'béchamel', 'mozzarella', 'Gran Milano cheese.']",7
Roasted Beetroot and Goat's Cheese Salad,A vibrant salad with the earthy sweetness of beetroot and creamy goat's cheese.,0.4,0.0,1,"['Beetroot', ""goat's cheese"", 'fresh basil', 'olive oil', 'mixed leaf salad', 'watercress.']",7
BBQ Jackfruit Ribs,"Tender jackfruit smothered in a tangy BBQ sauce, served with sides.",2.1,0.0,1,"['BBQ sauce', 'jackfruit', 'roasted new potatoes', 'broccoli.']",6
Eggplant Ragu Tagliatelle,A hearty and delicious pasta with a rich eggplant ragu.,4.7,0.0,1,"['Fried eggplant', 'tomato and fennel ragu', 'tagliatelle', 'vegan mozzarella', 'crispy sage.']",6
Vegan Stuffed Bell Peppers,"Hearty stuffed peppers, packed with delicious and healthy fillings.",0.5,0.0,1,"['Mixed vegetables', 'green lentils', 'tomato and fennel sauce', 'vegan mozzarella.']",6
Spicy Lentil and Jackfruit Tacos,A fiery taco loaded with protein and bold flavors.,1.8,0.0,1,"['Green lentils', 'jackfruit', 'roquito chilis', 'spicy harissa', 'vegan mozzarella.']",6
Mushroom Bourguignon,"A rich and savory dish, perfect for a comforting meal.",0.5,0.0,1,"['Mixed mushrooms', 'red wine braised onions', 'Raclette cheese', 'crispy bacon (vegan substitute).']",5
Tofu Porchetta,Herb-crusted tofu and flavorful sides for a vegan take on porchetta.,3.2,0.0,1,"['Tofu', 'herbed red wine sauce', 'roasted new potatoes', 'broccoli.']",5
Chickpea Katsu Burger,A satisfying burger with a crunchy chickpea patty and fresh toppings.,1.8,0.0,1,"['Crispy chickpea patty', 'Portuguese roll', 'tomato', 'lettuce', 'Dijon mayonnaise.']",4
Panko Crusted Tofu Fingers,Crunchy tofu sticks with a deliciously creamy dip.,3.2,0.0,1,"['Fried tofu', 'Japanese panko', 'mayo avocado dip.']",4
Tofu and Veggie Stir-fry,A nutritious stir-fry with tofu and a mix of fresh vegetables.,3.2,0.0,1,"['Tofu', 'mixed vegetables', 'garlic & ginger sesame soy', 'rice.']",4
Pork Ribs, Pork Ribs smothered with Kentucky style BBQ sauce,12.3,0.01040582726326743,0,,9
Beer Battered Fish with Chips, with frites and pea & mint puree,13.6,0.22727272727272727,0,,9
Supreme Pizza," Cheese and tomato, onion, mushroom, fresh basil, olive and garlic oil",23.9,0.0,0,,9
Four Cheese Margherita," Mozzarella, mascarpone, fontal and grana cheese on a tomato base",23.9,0.0,0,,9
Panchetta Carbonara," crispy pancetta and asparagus in a velvety sauce made with mascarpone, pecorino and Grana Padano cheese",12.3,0.01040582726326743,0,,9
Chicken Curry Ramen, Japanese fried chicken & noodles in a delicious curry broth,9.9,0.5882352941176471,0,,8
Pork Porchetta," Slow-roasted pork belly in herbed red wine sauce, served with roasted new potatoes and broccoli",12.3,0.01040582726326743,0,,8
Rustica Chorizo Pizza," Chorizo salami, torn wild boar and pork meatballs, smoked mozzarella and baby sunblush tomatoes",12.3,0.01040582726326743,0,,8
Goat's Cheese Salad," Goat's cheese and balsamic onion crostinis on winter baby kale, red pepper, cucumber, plum tomatoes",23.9,0.0,0,,8
Chicken Katsu Curry," Succulent chicken in a crispy Japanese panko crumb with mild curry sauce, pickles and steamed rice",9.9,0.5882352941176471,0,,7
Aromatic Duck Rolls," Aromatic roast duck, hoisin sauce, cucumber, spring onion, rolled in rice paper",9.9,0.0,0,,7
Wild Boar Polpette, Oven-baked herby wild boar and pork meatballs in a pomodoro sauce with melted smoked mozzarella,12.3,0.01040582726326743,0,,7
Aegean Slaw," Thinly shredded cabbage, carrot and red onion peppers, with an olive oil dressing",0.5,0.0,0,,7
Cured Salmon Sashimi, Dazzling beetroot cured slices of salmon served with lemon,13.6,0.22727272727272727,0,,6
Jack Fruit Arrabiata," Vegan jackfruit peppers, spicy harissa, roquito chilis & vegan Mozzarella cheese, finished with basil",1.1,0.0,0,,6
Butternut Squash Salad," Roasted butternut squash with feta cheese, pomegranate seeds, mixed leaf salad and watercress",0.5,0.0,0,,6
Lentil Linguine Ragu," Rich Italian lentil ragu with baby spinach, tomatoes, basil & pecorino cheese",1.8,0.0,0,,6
Vegan Spaghetti Lentil Ragu, A hearty ragu of green lentils and mixed vegetables in a rich tomato and fennel sauce,1.8,0.0,0,,5
Vegan Meatballs, Vegan meatballs in a rich tomato and fennel sauce,3.2,0.0,0,,5
Falafel with Tahini," Our signature recipe, served with a tahini dip",1.8,0.0,0,,4
Harusami Aubergine, Fried slices of aubergine with garlic & ginger sesame soy,0.5,0.0,0,,4
