Name,Description,Emissions,Animal Lives,LLM Generated,Ingredients,Predicted Rating
Canelloni," pasta with béchamel, mozzarella and Gran Milano cheese",23.9,0.0,0,,7
Supreme Pizza," Cheese and tomato, onion, mushroom, fresh basil, olive and garlic oil",23.9,0.0,0,,9
Goat's Cheese Calzone," Goats cheese, grilled aubergines, roasted peppers, oven roasted tomatoes",23.9,0.0,0,,8
Vegan Spaghetti Lentil Ragu, A hearty ragu of green lentils and mixed vegetables in a rich tomato and fennel sauce,1.8,0.0,0,,6
Jack Fruit Arrabiata," Vegan jackfruit peppers, spicy harissa, roquito chilis & vegan Mozzarella cheese, finished with basil",1.1,0.0,0,,5
Halloumi Sticks with Mayo Avocado Dip, Chunky sticks of grilled halloumi cheese with a chilli jam and mayo avocado dip,23.9,0.0,0,,7
Cheese Salad," Smoked cheddar, cheddar and sage stuffing",23.9,0.0,0,,4
Falafel with Tahini," Our signature recipe, served with a tahini dip",1.8,0.0,0,,7
Four Cheese Margherita," Mozzarella, mascarpone, fontal and grana cheese on a tomato base",23.9,0.0,0,,9
Vegan Meatballs, Vegan meatballs in a rich tomato and fennel sauce,3.2,0.0,0,,5
Bufala Caprese, Specialty tomatoes and drizzle of roasted garlic in extra virgin olive oil with Buffalo mozzarella,23.9,0.0,0,,8
Butternut Squash Salad," Roasted butternut squash with feta cheese, pomegranate seeds, mixed leaf salad and watercress",0.5,0.0,0,,6
Lentil Linguine Ragu," Rich Italian lentil ragu with baby spinach, tomatoes, basil & pecorino cheese",1.8,0.0,0,,7
Aegean Slaw," Thinly shredded cabbage, carrot and red onion peppers, with an olive oil dressing",0.5,0.0,0,,6
Goat's Cheese Salad," Goat's cheese and balsamic onion crostinis on winter baby kale, red pepper, cucumber, plum tomatoes",23.9,0.0,0,,8
Harusami Aubergine, Fried slices of aubergine with garlic & ginger sesame soy,0.5,0.0,0,,5
Inari Taco," Golden tofu pockets filled with sticky sushi rice, avocado salsa & vegan sriracha mayo",3.2,0.0,0,,7
