Name,Description,Emissions,Animal Lives,LLM Generated,Ingredients,Predicted Rating
Chicken Curry Ramen, Japanese fried chicken & noodles in a delicious curry broth,9.9,0.5882352941176471,0,,8
Pork Ribs, Pork Ribs smothered with Kentucky style BBQ sauce,12.3,0.0104058272632674,0,,9
Chicken Katsu Curry," Succulent chicken in a crispy Japanese panko crumb with mild curry sauce, pickles and steamed rice",9.9,0.5882352941176471,0,,8
Pepperoni Melt," This one’s got our triple cheese blend, tomato sauce and pepperoni",55.9,0.0,0,,9
Lamb Meatballs with Spaghetti," Handmade lamb patties grilled and topped with Greek yoghurt, tomato sauce, and onions",39.7,0.0,0,,8
Aromatic Duck Rolls," Aromatic roast duck, hoisin sauce, cucumber, spring onion, rolled in rice paper",9.9,0.0,0,,7
Pork Porchetta," Slow-roasted pork belly in herbed red wine sauce, served with roasted new potatoes and broccoli",12.3,0.0104058272632674,0,,8
Cured Salmon Sashimi, Dazzling beetroot cured slices of salmon served with lemon,13.6,0.2272727272727272,0,,6
Rustica Chorizo Pizza," Chorizo salami, torn wild boar and pork meatballs, smoked mozzarella and baby sunblush tomatoes",12.3,0.0104058272632674,0,,9
Butterfly Chicken Burger," Two succulent chicken breasts joined by crispy skin, packaged in a Portuguese roll and topped with tomato and lettuce",9.9,0.5882352941176471,0,,7
American Hot Pizza," Pepperoni, mozzarella and tomato, with your choice of hot green, Roquito or jalapeno peppers",55.9,0.0,0,,9
Beer Battered Fish with Chips, with frites and pea & mint puree,13.6,0.2272727272727272,0,,8
Wild Boar Polpette, Oven-baked herby wild boar and pork meatballs in a pomodoro sauce with melted smoked mozzarella,12.3,0.0104058272632674,0,,6
Canelloni," pasta with béchamel, mozzarella and Gran Milano cheese",23.9,0.0,0,,7
Supreme Pizza," Cheese and tomato, onion, mushroom, fresh basil, olive and garlic oil",23.9,0.0,0,,9
Goat's Cheese Calzone," Goats cheese, grilled aubergines, roasted peppers, oven roasted tomatoes",23.9,0.0,0,,8
Vegan Spaghetti Lentil Ragu, A hearty ragu of green lentils and mixed vegetables in a rich tomato and fennel sauce,1.8,0.0,0,,6
Jack Fruit Arrabiata," Vegan jackfruit peppers, spicy harissa, roquito chilis & vegan Mozzarella cheese, finished with basil",1.1,0.0,0,,5
Halloumi Sticks with Mayo Avocado Dip, Chunky sticks of grilled halloumi cheese with a chilli jam and mayo avocado dip,23.9,0.0,0,,7
Cheese Salad," Smoked cheddar, cheddar and sage stuffing",23.9,0.0,0,,4
Falafel with Tahini," Our signature recipe, served with a tahini dip",1.8,0.0,0,,7
Four Cheese Margherita," Mozzarella, mascarpone, fontal and grana cheese on a tomato base",23.9,0.0,0,,9
Vegan Meatballs, Vegan meatballs in a rich tomato and fennel sauce,3.2,0.0,0,,5
Bufala Caprese, Specialty tomatoes and drizzle of roasted garlic in extra virgin olive oil with Buffalo mozzarella,23.9,0.0,0,,8
Butternut Squash Salad," Roasted butternut squash with feta cheese, pomegranate seeds, mixed leaf salad and watercress",0.5,0.0,0,,6
Panchetta Carbonara," crispy pancetta and asparagus in a velvety sauce made with mascarpone, pecorino and Grana Padano cheese",12.3,0.0104058272632674,0,,9
Lentil Linguine Ragu," Rich Italian lentil ragu with baby spinach, tomatoes, basil & pecorino cheese",1.8,0.0,0,,7
Aegean Slaw," Thinly shredded cabbage, carrot and red onion peppers, with an olive oil dressing",0.5,0.0,0,,6
Goat's Cheese Salad," Goat's cheese and balsamic onion crostinis on winter baby kale, red pepper, cucumber, plum tomatoes",23.9,0.0,0,,8
Harusami Aubergine, Fried slices of aubergine with garlic & ginger sesame soy,0.5,0.0,0,,5
Inari Taco," Golden tofu pockets filled with sticky sushi rice, avocado salsa & vegan sriracha mayo",3.2,0.0,0,,7
